corridor,latitude,longitude
Tumkur Road,13.03146,77.53366
ORR East 1,12.92831,77.66913
Non-corridor,12.98286,77.59869
CBD 2,12.98331,77.59505
ORR East 2,12.97583,77.69603
ORR West 1,12.92084,77.55913
ORR North 1,13.02455,77.63744
Old Madras Road,12.98091,77.62932
Bellary Road 2,13.10596,77.60327
Bellary Road 1,13.0168,77.5864
Hosur Road,12.91547,77.62466
Bannerghata Road,12.89638,77.59788
ORR North 2,13.04193,77.55882
Magadi Road,12.98506,77.52334
IRR(Thanisandra road),12.93751,77.62694
Mysore Road,12.95779,77.56365
West of Chord Road,12.98297,77.54634
CBD 1,12.98102,77.60682
Old Airport Road,12.95887,77.66185
Hennur Main Road,13.05115,77.62619
Airport New South Road,13.02752,77.63353
Varthur Road,12.95655,77.71594
